2022-01-26T13:20:34-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.326
2022-01-26T13:20:34-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.246
2022-01-26T13:20:34-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 2.445
2022-01-26T13:34:52-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 401, 1.391
2022-01-26T13:34:52-04:00, ::1, GET, /api/reports, HTTP/1.1, 401, 1.011
2022-01-26T13:34:52-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 401, 3.050
2022-01-26T13:34:54-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.078
2022-01-26T13:34:54-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 3.311
2022-01-26T13:34:54-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.311
2022-01-26T13:34:54-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 5.015
2022-01-26T13:34:54-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 6.669
2022-01-26T13:35:07-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.920
2022-01-26T13:35:07-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.982
2022-01-26T13:35:14-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.404
2022-01-26T13:35:14-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 5.128
2022-01-26T13:35:18-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.846
2022-01-26T13:35:18-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 5.106
2022-01-26T13:35:24-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.480
2022-01-26T13:35:24-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 5.115
2022-01-26T13:35:34-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.475
2022-01-26T13:35:34-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.269
2022-01-26T13:35:36-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 2.457
2022-01-26T13:47:08-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 2.216
2022-01-26T13:47:10-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.077
2022-01-26T13:47:10-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 2.546
2022-01-26T13:47:10-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.260
2022-01-26T13:47:10-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.410
2022-01-26T13:47:10-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.094
2022-01-26T13:48:25-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 2.333
2022-01-26T13:48:26-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.096
2022-01-26T13:48:26-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 400, 1.961
2022-01-26T13:48:42-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.104
2022-01-26T13:48:42-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 2.780
2022-01-26T13:48:42-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.342
2022-01-26T13:48:42-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 5.319
2022-01-26T13:48:42-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.647
2022-01-26T13:48:53-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.843
2022-01-26T13:48:53-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.756
2022-01-26T13:48:53-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.026
2022-01-26T13:48:53-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 9.002
